flagship_id,proposal_id,call_id,call_name,flagship_title,source_file,n_applicants,n_institutions,institutions,erasmus_mc_count,tu_delft_count,eur_count,external_or_other_count
2022003,2022003,flagship,Flagship Call,HELIOS,2022003_2022003_full proposal HELIOS.pdf,75,22,Avegen; Bayer; Corsano; Erasmus MC; Erasmus University Rotterdam; HELLP Stichting; Health Holland; Internal Medicine; Microsoft; Molecular Genetics; RIVM; Rotterdam; Somnox; Soulve; Surgery; TU Delft; University; VGZ; Voedingscentrum; info@ankeschrage.nl; lab / Obstetrics and; yeverdingen@rsm.nl,41,7,5,22
2022009,2022009,flagship,Flagship Call,Rare Disease Innovation Center (RD-IC) initiative: Converging stakeholders and sciences to propel the health journey Flagship Rare Disease Innovation Center (RD-IC) 1 Application form Flagship program round 2021-2022,2022009_2022009_full proposal Rare Disease Innovation Center.pdf,57,10,"Approach ed and interested; Dept. Medicine University Melbourn e, Melbourn; Erasmus MC; Erasmus University Rotterdam; GenomeS can BV; Koç University School of Medicine ( KUSoM) Koç University Hospital, Istanbul; PHARMO Institute; TKI Health Holland; TU Delft; VSOP",29,8,11,9
2022011,2022011,flagship,Flagship Call,Radiation Therapy Centre 2030,2022011_2022011_full proposal_Radiation Therapy Centre 2030.pdf,45,4,Erasmus MC; Erasmus University Rotterdam; Multiple core institutions; TU Delft,25,11,7,2
2022013,2022013,flagship,Flagship Call,The Child Brain Lab – Integrating and innovating meaningful care and research in children with brain-related disorders,2022013_2022013_full proposal Child Brain Lab.pdf,43,4,Erasmus MC; Erasmus University Rotterdam; Multiple core institutions; TU Delft,31,6,4,2
2022012,2022012,flagship,Flagship Call,PROactive TEChnology-supported prevention and MEntal health in adolescence,2022012_2022012_full proposal PROTECt ME.pdf,36,8,"Dutch Patient Association for patients with bipolar disorder and their relatives; Erasmus MC; Erasmus University Rotterdam; Multiple core institutions; Prof. dr. Mark; TU Delft; The Dutch Psychiatric Association (NVvP) is a membership association of, for and by psychiatrists. More; nd",9,7,15,5
2022021,2022021,flagship,Flagship Call,Flagship Critical Care Final V2,2022021_2022021_Flagship Critical Care_Final-V2.pdf,36,6,Dr. Ernst Huls; Erasmus MC; Erasmus University Rotterdam; Multiple core institutions; Prof.dr. Claartje; TU Delft,13,8,11,4
2022020,2022020,flagship,Flagship Call,Healthy Joints,2022020_2022020_Full proposal_HealthyJoints.pdf,35,6,Duncan arcel; Erasmus MC; Erasmus University Rotterdam; Multiple core institutions; TU Delft; ricola Van,17,12,2,4
2022025,2022025,flagship,Flagship Call,Organ Transplantation making unsuitable donor organs suitable (1,2022025_2022025_Organ Transplantation making unsuitable donor organs suitable (1).pdf,33,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,20,7,6,0
2022017,2022017,flagship,Flagship Call,Convergence Imaging Facility and Innovation Centre (CIFIC),2022017_2022017_full proposal_CIFIC.pdf,32,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,15,14,3,0
2022026,2022026,flagship,Flagship Call,Flagship Consultation room 2030 Final,2022026_2022026_Flagship Consultation room 2030 Final.pdf,31,4,Erasmus MC; Erasmus University Rotterdam; TU Delft; Unknown,15,5,10,1
2022030,2022030,flagship,Flagship Call,ALIVE Convergence Flagship Proposal Updated,2022030_ALIVE Convergence Flagship Proposal_Updated.pdf,31,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,20,2,9,0
2022005,2022005,flagship,Flagship Call,Development of the microbial safe hospital: the MI-Safe-Hospital flagship,2022005_2022005_Full proposal MI-SAFE.pdf,30,5,Erasmus MC; Erasmus University Rotterdam; Inspired Ambitions; Multiple core institutions; TU Delft,13,8,6,3
2022016,2022016,flagship,Flagship Call,FlagshipNG PM4allDEF,2022016_2022016_FlagshipNG-PM4allDEF.pdf,30,4,Erasmus MC; Erasmus University Rotterdam; Multiple core institutions; TU Delft,16,4,8,2
2022014,2022014,flagship,Flagship Call,full propsal ALIVE,2022014_2022014_full propsal_ALIVE.pdf,28,4,Erasmus MC; Erasmus University Rotterdam; Multiple core institutions; TU Delft,13,9,5,1
2022023,2022023,flagship,Flagship Call,"Deep Medical Imaging of Structure, Physiology and Function",2022023_2022023_Flagship-Call-Deep Imaging_merged_final_revised.pdf,26,4,Erasmus MC; Erasmus University Rotterdam; Multiple core institutions; TU Delft,14,7,2,3
2022008,2022008,flagship,Flagship Call,Resilient Healthcare,2022008_2022008_Full proposal_Resilient_Healthcare.pdf,25,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,8,10,7,0
2022033,2022033,flagship,Flagship Call,Organ-on-Chip technology for disease modeling and personalized medicine,2022033_Flagship-Call-CoC proposal-final corrected.pdf,24,3,Erasmus MC; Erasmus University Rotterdam; TU Delft,14,3,7,0
2022032,2022032,flagship,Flagship Call,Patient-centered oncological care: New paradigms in understanding and treating cancer,2022032_2022032_Full proposal_PatientCenteredOncoCare.pdf,24,4,Erasmus MC; Erasmus University Rotterdam; Multiple core institutions; TU Delft,9,10,4,1
